player_name,team,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
James Hill,Bournemouth,319,19,99,167,54,8,319,2,1,50.0,1,50.0,146,552,295,3,6,0,2,0,179,8
Julian Araujo,Bournemouth,247,19,83,120,49,2,247,0,0,,0,,110,424,219,3,1,0,5,2,132,20
Mark Travers,Bournemouth,162,144,159,3,0,0,162,0,0,,0,,85,426,188,0,0,0,0,0,68,0
Enes Ünal,Bournemouth,172,6,14,63,95,26,172,12,1,8.3,10,83.3,91,261,95,4,3,1,17,13,133,22
Neto,Bournemouth,70,60,70,0,0,0,70,0,0,,0,,35,148,99,0,0,0,0,0,28,0
Luis Sinisterra,Bournemouth,155,7,18,41,96,23,155,20,8,40.0,10,50.0,95,744,393,19,6,10,6,3,102,38
Philip Billing,Bournemouth,148,5,20,72,57,12,148,3,1,33.3,0,0.0,58,254,163,3,1,1,7,4,75,13
Max Aarons,Bournemouth,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3
Daniel Jebbison,Bournemouth,59,3,8,23,29,10,59,5,4,80.0,1,20.0,35,229,82,2,1,3,11,4,39,11
Ben Winterburn,Bournemouth,9,0,2,5,2,1,9,0,0,,0,,6,50,40,2,0,1,0,0,6,2
Julio Soler,Bournemouth,4,0,2,1,1,0,4,0,0,,0,,2,2,2,0,0,0,1,0,3,0
Remy Rees-Dottin,Bournemouth,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Zain Silcott-Duberry,Bournemouth,3,0,1,0,2,0,3,0,0,,0,,1,6,6,0,0,0,0,0,2,0
Squad Total,Bournemouth,20395,2129,6117,8765,5764,942,20388,644,280,43.5,288,44.7,10918,64667,34524,719,501,215,569,336,12019,1397
Opponent Total,Bournemouth,21501,2690,7795,8759,5178,903,21497,683,318,46.6,292,42.8,11414,61647,30372,651,430,193,623,374,13112,1223
Nathan Collins,Brentford,2318,364,1204,958,166,67,2318,12,6,50.0,5,41.7,1208,6595,3874,30,12,1,19,8,1406,18
Bryan Mbeumo,Brentford,1679,58,236,531,941,154,1674,102,48,47.1,42,41.2,1008,6357,3297,120,64,70,99,42,1141,331
Mark Flekken,Brentford,1744,1370,1697,52,0,0,1744,1,1,100.0,0,0.0,1063,5402,3062,0,0,0,3,0,974,0
Keane Lewis-Potter,Brentford,1514,95,467,585,481,71,1514,99,41,41.4,49,49.5,803,5689,3007,92,63,34,45,19,902,147
Mikkel Damsgaard,Brentford,1761,34,312,804,667,74,1761,93,49,52.7,33,35.5,999,5450,2810,66,44,9,55,46,1161,126
Yoane Wissa,Brentford,870,32,131,355,399,151,870,47,14,29.8,24,51.1,506,3191,1504,54,23,29,72,29,614,139
Christian Nørgaard,Brentford,1693,164,574,809,326,52,1693,14,7,50.0,5,35.7,765,2931,1312,14,15,4,32,19,1009,39
Sepp van den Berg,Brentford,1491,260,753,581,161,43,1491,7,4,57.1,3,42.9,671,3426,1769,10,9,1,15,7,845,27
Vitaly Janelt,Brentford,1289,118,418,574,306,32,1289,12,3,25.0,7,58.3,652,3011,1278,17,18,3,16,10,814,38
Kevin Schade,Brentford,823,38,136,225,478,137,823,83,30,36.1,47,56.6,408,2887,1299,57,27,35,58,35,508,154
Ethan Pinnock,Brentford,1348,294,783,457,109,24,1348,9,3,33.3,6,66.7,633,3117,1633,3,4,0,2,4,760,9
Kristoffer Ajer,Brentford,773,52,260,359,160,35,773,16,7,43.8,8,50.0,378,2059,1172,27,11,2,15,12,481,42
Yehor Yarmoliuk,Brentford,851,53,234,445,187,15,851,22,10,45.5,9,40.9,442,2376,808,15,18,3,24,18,534,46
Mads Roerslev,Brentford,645,49,234,268,146,20,645,19,7,36.8,8,42.1,352,1630,858,17,13,0,9,6,407,54
Mathias Jensen,Brentford,538,25,122,228,191,9,538,16,9,56.3,5,31.3,280,1205,543,6,8,0,9,6,330,26
Michael Kayode,Brentford,229,19,78,83,72,12,229,12,7,58.3,4,33.3,97,663,337,10,5,3,10,2,94,22
Fabio Carvalho,Brentford,247,4,44,91,113,22,247,14,2,14.3,10,71.4,137,698,356,9,3,0,13,8,145,23
Ben Mee,Brentford,138,18,66,62,11,3,138,0,0,,0,,78,404,274,3,1,1,0,0,86,2
Thiago,Brentford,68,6,12,29,28,3,68,4,3,75.0,1,25.0,36,135,42,3,2,1,5,1,41,5
