player_name,team,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
Dewsbury-Hall,Chelsea,5,1.73,5,0,0,0,0,0,1,0.35,1,0,0,0,0,0
Acheampong,Chelsea,2,1.06,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Veiga,Chelsea,1,0.49,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Mudryk,Chelsea,6,3.6,4,1,0,0,1,0,0,0.0,0,0,0,0,0,0
George,Chelsea,6,5.24,5,0,1,0,0,0,1,0.87,1,0,0,0,0,0
Guiu,Chelsea,1,1.22,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Amougou,Chelsea,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mheuka,Chelsea,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Henderson,Crystal Palace,3,0.08,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Mitchell,Crystal Palace,71,2.13,64,1,0,3,2,1,6,0.18,5,0,0,0,1,0
Muñoz,Crystal Palace,83,2.45,67,2,2,6,1,5,10,0.3,8,0,1,1,0,0
Guéhi,Crystal Palace,44,1.29,36,0,0,4,2,2,5,0.15,4,0,0,0,0,1
Lacroix,Crystal Palace,28,0.86,23,1,0,4,0,0,4,0.12,2,1,0,1,0,0
Mateta,Crystal Palace,63,2.2,42,0,5,11,5,0,9,0.31,4,0,3,2,0,0
Eze,Crystal Palace,131,4.68,68,29,11,13,9,1,10,0.36,9,1,0,0,0,0
Sarr,Crystal Palace,106,3.73,78,0,6,8,14,0,11,0.39,8,0,1,0,2,0
Lerma,Crystal Palace,45,1.93,36,5,0,3,0,1,3,0.13,3,0,0,0,0,0
Hughes,Crystal Palace,65,2.95,40,17,1,2,5,0,6,0.27,2,3,0,1,0,0
Richards,Crystal Palace,8,0.41,4,0,0,2,1,1,2,0.1,0,0,0,2,0,0
Wharton,Crystal Palace,59,4.03,45,11,0,2,0,1,6,0.41,4,2,0,0,0,0
Kamada,Crystal Palace,50,3.09,37,6,1,3,1,2,3,0.19,2,1,0,0,0,0
Chalobah,Crystal Palace,11,0.93,10,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Nketiah,Crystal Palace,27,2.62,17,0,3,3,4,0,2,0.19,1,0,0,0,1,0
Clyne,Crystal Palace,3,0.56,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Doucouré,Crystal Palace,9,1.79,5,0,0,2,1,1,3,0.6,1,0,0,1,1,0
Devenny,Crystal Palace,11,2.28,8,2,0,1,0,0,0,0.0,0,0,0,0,0,0
Édouard,Crystal Palace,1,0.78,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Andersen,Crystal Palace,1,1.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Riad,Crystal Palace,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Chilwell,Crystal Palace,6,3.18,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Schlupp,Crystal Palace,7,6.06,5,0,1,1,0,0,0,0.0,0,0,0,0,0,0
Esse,Crystal Palace,3,5.63,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
França,Crystal Palace,1,3.46,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Ayew,Crystal Palace,1,4.29,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Kporha,Crystal Palace,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
