first_name,last_name,nation,team,positions,age
,Hutchinson,ENG,Ipswich Town,"MF,FW",21
,Greaves,ENG,Ipswich Town,DF,24
,Cajuste,SWE,Ipswich Town,MF,25
,Muric,KVX,Ipswich Town,GK,26
,Tuanzebe,COD,Ipswich Town,DF,27
,Burgess,AUS,Ipswich Town,DF,29
,Johnson,ENG,Ipswich Town,"DF,FW",25
,Phillips,ENG,Ipswich Town,MF,29
,Szmodics,IRL,Ipswich Town,"FW,MF",29
,Woolfenden,ENG,Ipswich Town,DF,26
,Palmer,ENG,Ipswich Town,GK,28
,Burns,WAL,Ipswich Town,"FW,DF",30
,Clarke,ENG,Ipswich Town,"FW,MF",24
,Enciso,PAR,Ipswich Town,"FW,MF",21
,Chaplin,ENG,Ipswich Town,"MF,FW",28
,Broadhead,WAL,Ipswich Town,"MF,FW",27
,Walton,ENG,Ipswich Town,GK,29
,Jaden Philogene Bidace,ENG,Ipswich Town,"FW,DF",23
,Taylor,IRL,Ipswich Town,MF,26
,Clarke,ENG,Ipswich Town,DF,24
,Hirst,SCO,Ipswich Town,FW,26
,Townsend,ENG,Ipswich Town,DF,32
,Ogbene,IRL,Ipswich Town,FW,28
,Luongo,AUS,Ipswich Town,MF,32
,Godfrey,ENG,Ipswich Town,DF,27
,Ali Al Hamadi,IRQ,Ipswich Town,FW,23
,Harness,ENG,Ipswich Town,MF,29
,Edmundson,ENG,Ipswich Town,DF,27
,Boniface,ENG,Ipswich Town,DF,19
,Slicker,SCO,Ipswich Town,GK,22
,Taylor,,Ipswich Town,MF,na
,Vardy,ENG,Leicester City,FW,38
,Justin,ENG,Leicester City,DF,27
,Faes,BEL,Leicester City,DF,27
,Victor Bernth Kristiansen,DEN,Leicester City,DF,22
,Hermansen,DEN,Leicester City,GK,24
,Ndidi,NGA,Leicester City,MF,28
,Bilal El Khannouss,MAR,Leicester City,MF,21
,Soumaré,FRA,Leicester City,MF,26
,Winks,ENG,Leicester City,MF,29
,Coady,ENG,Leicester City,DF,32
,Ayew,GHA,Leicester City,"FW,MF",33
,Mavididi,ENG,Leicester City,FW,26
,Vestergaard,DEN,Leicester City,DF,32
,Buonanotte,ARG,Leicester City,"FW,MF",20
,Okoli,ITA,Leicester City,DF,23
,Thomas,ENG,Leicester City,DF,23
,Skipp,ENG,Leicester City,MF,24
,Bobby De Cordova-Reid,JAM,Leicester City,FW,32
,Stolarczyk,POL,Leicester City,GK,24
,McAteer,IRL,Leicester City,"FW,MF",23
,Abdul Fatawu Issahaku,GHA,Leicester City,FW,21
,Daka,ZAM,Leicester City,"FW,MF",26
,Pereira,POR,Leicester City,DF,31
,Ward,WAL,Leicester City,GK,31
,Choudhury,BAN,Leicester City,"MF,DF",27
,Coulibaly,FRA,Leicester City,DF,25
,Monga,,Leicester City,"FW,MF",na
,Édouard,FRA,Leicester City,FW,27
,Evans,,Leicester City,FW,na
,Alves,ENG,Leicester City,FW,20
,Golding,ENG,Leicester City,MF,18
,Aluko,,Leicester City,MF,na
,Cannon,IRL,Leicester City,FW,22
,Cartwright,ENG,Leicester City,MF,20
,Iversen,DEN,Leicester City,GK,27
,Nelson,ENG,Leicester City,DF,21
,Wilson-Brown,ENG,Leicester City,MF,20
,Virgil van Dijk,NED,Liverpool,DF,33
,Salah,EGY,Liverpool,FW,32
,Gravenberch,NED,Liverpool,MF,22
