id,player_name,team,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
137,Tariq Lamptey,Brighton,0,0,0,15,10,0,0,1,0,39,1,14,6.7
138,Brajan Gruda,Brighton,0,0,0,7,12,1,0,0,0,26,3,5,37.5
139,Ferdi Kadioglu,Brighton,1,0,0,5,3,1,0,0,0,14,3,1,75
140,Diego Gómez,Brighton,0,0,0,8,3,1,1,0,0,32,10,4,71.4
141,James Milner,Brighton,1,0,0,3,1,0,0,0,0,2,0,1,0
142,Julio Enciso,Brighton,0,0,0,3,7,0,0,0,0,15,6,5,54.5
143,Evan Ferguson,Brighton,0,0,0,3,1,0,0,0,0,10,4,9,30.8
144,Jason Steele,Brighton,0,0,0,0,1,0,0,0,0,7,1,1,50
145,Solly March,Brighton,2,0,0,2,2,3,0,0,0,7,1,2,33.3
146,Billy Gilmour,Brighton,0,0,0,2,3,0,0,0,0,5,0,0,0
147,Eiran Cashin,Brighton,0,0,0,0,0,0,0,0,0,1,2,1,66.7
148,Jakub Moder,Brighton,0,0,0,0,0,0,0,0,0,2,0,1,0
149,Jeremy Sarmiento,Brighton,0,0,0,0,0,0,0,0,0,1,0,0,0
150,Harry Howell,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Moisés Caicedo,Chelsea,10,0,0,66,55,0,2,1,0,211,35,15,70
154,Cole Palmer,Chelsea,6,0,0,14,58,6,1,0,0,100,2,7,22.2
155,Levi Colwill,Chelsea,9,0,0,43,20,4,0,1,0,115,77,52,59.7
156,Marc Cucurella,Chelsea,10,1,1,34,34,3,0,0,0,121,30,54,35.7
157,Enzo Fernández,Chelsea,8,0,0,48,50,1,0,0,0,148,14,28,33.3
158,Robert Sánchez,Chelsea,5,0,0,2,4,0,0,2,0,42,9,0,100
159,Nicolas Jackson,Chelsea,7,1,0,35,29,23,0,0,0,48,21,36,36.8
160,Noni Madueke,Chelsea,3,0,0,21,24,5,0,0,0,73,10,16,38.5
161,Pedro Neto,Chelsea,8,0,0,19,31,3,0,0,0,75,11,27,28.9
162,Malo Gusto,Chelsea,4,0,0,20,19,2,0,0,0,116,9,15,37.5
163,Jadon Sancho,Chelsea,2,0,0,6,11,6,2,0,0,97,6,10,37.5
164,Wesley Fofana,Chelsea,7,0,0,24,16,0,0,0,0,54,27,12,69.2
165,Tosin Adarabioyo,Chelsea,3,0,0,8,6,1,0,0,0,34,36,26,58.1
