id,player_name,team,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
306,James Justin,Leicester City,6,0,0,29,44,2,0,0,0,88,69,55,55.6
307,Wout Faes,Leicester City,4,0,0,23,11,1,0,0,0,90,45,36,55.6
308,Victor Bernth Kristiansen,Leicester City,1,0,0,19,18,3,0,1,1,99,22,42,34.4
309,Wilfred Ndidi,Leicester City,8,0,0,39,18,3,0,0,1,127,61,59,50.8
310,Mads Hermansen,Leicester City,1,0,0,0,3,0,0,0,0,17,4,1,80
311,Bilal El Khannouss,Leicester City,4,0,0,30,13,1,0,0,0,92,19,24,44.2
312,Boubakary Soumaré,Leicester City,8,0,0,24,23,0,0,0,0,140,21,11,65.6
313,Conor Coady,Leicester City,3,0,0,8,2,1,0,2,0,62,13,22,37.1
314,Jordan Ayew,Leicester City,5,0,0,30,59,7,0,0,0,93,37,80,31.6
315,Harry Winks,Leicester City,4,0,0,9,13,0,0,0,0,106,8,6,57.1
316,Stephy Mavididi,Leicester City,2,0,0,18,18,3,0,0,0,83,9,15,37.5
