id,player_name,team,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
498,William Smallbone,Southampton,431,17,83,213,139,17,431,6,4,66.7,2,33.3,193,787,397,5,9,1,12,6,262,25
499,Welington,Southampton,276,31,113,102,64,3,276,9,5,55.6,3,33.3,100,389,197,5,4,1,9,4,120,19
500,Alex McCarthy,Southampton,173,141,173,0,0,0,173,0,0,0,0,0,100,452,276,0,0,0,0,0,88,0
501,Adam Lallana,Southampton,318,19,91,155,73,6,318,12,5,41.7,5,41.7,178,831,366,6,8,0,10,6,245,10
502,Ben Brereton,Southampton,206,4,19,76,112,20,206,4,1,25,2,50,136,791,394,12,13,4,9,4,171,42
503,Ross Stewart,Southampton,140,9,25,55,62,15,140,5,3,60,2,40,64,298,81,3,0,4,7,9,100,10
504,Ryan Fraser,Southampton,131,12,45,50,37,3,131,3,2,66.7,1,33.3,74,492,252,10,5,2,4,2,94,18
505,Charlie Taylor,Southampton,279,35,121,120,39,2,279,2,2,100,0,0,116,500,187,3,3,0,1,1,172,7
506,Joe Lumley,Southampton,164,116,161,3,0,0,164,0,0,0,0,0,103,476,296,0,0,0,0,0,108,0
507,Armel Bella Kotchap,Southampton,263,33,147,115,3,1,263,1,0,0,1,100,186,936,326,0,0,0,1,0,192,0
508,Albert Grønbaek,Southampton,38,2,9,14,15,2,38,4,0,0,4,100,18,79,15,1,0,1,5,4,21,3
509,Jay Robinson,Southampton,54,4,15,18,22,5,54,11,6,54.5,5,45.5,33,188,92,3,2,1,1,6,29,10
510,Maxwel Cornet,Southampton,34,1,8,14,13,2,34,1,0,0,1,100,16,73,26,1,0,1,3,0,23,5
511,Samuel Edozie,Southampton,43,0,0,7,36,10,43,4,2,50,2,50,34,336,197,6,2,4,4,0,39,23
512,Samuel Amo-Ameyaw,Southampton,16,0,5,5,7,1,16,4,0,0,3,75,11,98,68,1,0,1,0,2,11,3
513,Joachim Kayi Sanda,Southampton,19,1,8,10,1,1,19,0,0,0,0,0,14,63,35,0,0,0,1,0,15,0
514,Ronnie Edwards,Southampton,6,3,4,2,0,0,6,0,0,0,0,0,3,10,0,0,0,0,0,0,5,0
515,Carlos Alcaraz,Southampton,17,0,1,8,9,2,17,2,0,0,2,100,12,112,98,4,1,0,0,0,12,1
518,Pedro Porro,Tottenham,2237,128,675,812,763,32,2237,40,14,35,24,60,1187,5444,2841,65,43,5,25,18,1291,109
519,Dejan Kulusevski,Tottenham,1276,24,149,432,719,158,1276,117,38,32.5,71,60.7,823,6157,3208,120,67,40,77,74,895,210
520,Dominic Solanke,Tottenham,655,33,74,299,288,112,654,51,17,33.3,31,60.8,385,2126,848,31,23,14,69,51,459,88
521,Brennan Johnson,Tottenham,853,18,98,292,475,125,853,44,19,43.2,22,50,544,2939,1460,60,23,35,26,17,626,197
522,Guglielmo Vicario,Tottenham,928,626,910,18,0,0,928,1,1,100,0,0,661,3067,1700,0,0,0,0,0,597,0
523,Son Heung-min,Tottenham,1134,16,115,362,668,122,1132,83,29,34.9,41,49.4,761,4914,2613,96,49,44,25,32,867,265
524,Destiny Udogie,Tottenham,1376,63,394,609,389,49,1376,32,13,40.6,16,50,758,4340,2352,54,40,12,37,19,819,94
525,Pape Matar Sarr,Tottenham,1253,47,274,699,302,28,1253,30,11,36.7,16,53.3,772,4547,1918,33,37,5,29,22,872,53
526,James Maddison,Tottenham,1464,26,210,691,576,77,1464,77,33,42.9,34,44.2,1026,5128,2279,45,39,20,23,25,1125,95
527,Rodrigo Bentancur,Tottenham,1302,76,323,774,216,24,1302,19,9,47.4,8,42.1,764,3568,1502,28,24,5,19,20,848,34
528,Djed Spence,Tottenham,1428,81,500,641,309,25,1428,76,38,50,31,40.8,794,4661,2481,59,44,7,28,33,872,70
529,Archie Gray,Tottenham,1286,150,609,582,106,3,1286,13,7,53.8,5,38.5,878,4023,1678,7,5,0,12,11,941,17
530,Cristian Romero,Tottenham,1377,157,594,720,74,23,1377,4,1,25,2,50,896,4702,2893,12,18,0,10,5,936,3
531,Yves Bissouma,Tottenham,1039,71,304,584,159,5,1039,22,7,31.8,15,68.2,610,3602,1611,15,17,0,25,15,704,3
532,Ben Davies,Tottenham,1186,215,643,495,48,13,1186,1,1,100,0,0,664,3255,1824,14,10,0,5,0,781,6
533,Radu Drăgușin,Tottenham,961,148,510,430,30,12,961,2,0,0,0,0,623,3349,1666,7,3,0,8,2,669,2
534,Micky van de Ven,Tottenham,895,110,460,408,36,9,895,8,4,50,4,50,620,2883,1407,8,10,1,5,5,651,1
535,Lucas Bergvall,Tottenham,885,36,188,478,232,22,885,45,21,46.7,20,44.4,531,3392,1634,33,21,4,20,19,586,31
536,Mathys Tel,Tottenham,414,9,58,150,217,40,413,53,15,28.3,31,58.5,266,1578,805,28,23,11,28,15,279,72
537,Wilson Odobert,Tottenham,381,7,46,142,197,35,381,32,12,37.5,17,53.1,265,1949,1146,45,25,18,21,17,273,66
538,Kevin Danso,Tottenham,676,108,394,257,29,8,676,3,2,66.7,1,33.3,448,2428,1195,11,5,1,8,3,475,1
539,Fraser Forster,Tottenham,228,212,228,0,0,0,228,1,1,100,0,0,113,501,264,0,0,0,1,0,94,0
540,Antonín Kinský,Tottenham,237,205,234,3,0,0,237,0,0,0,0,0,144,760,491,1,0,0,0,0,126,0
541,Timo Werner,Tottenham,298,8,24,78,203,33,298,19,10,52.6,8,42.1,215,1768,1062,42,24,18,14,6,227,89
542,Richarlison,Tottenham,173,8,21,89,64,29,173,16,1,6.3,14,87.5,89,424,168,8,8,3,9,8,120,22
543,Mikey Moore,Tottenham,142,4,17,43,83,13,142,17,2,11.8,13,76.5,106,781,374,12,6,5,10,7,107,40
544,Sergio Reguilón,Tottenham,167,9,57,73,38,3,167,6,2,33.3,1,16.7,88,383,233,5,2,1,2,1,97,12
545,Brandon Austin,Tottenham,36,30,36,0,0,0,36,0,0,0,0,0,22,104,46,0,0,0,0,0,16,0
546,Dane Scarlett,Tottenham,9,1,3,5,1,1,9,0,0,0,0,0,5,66,33,1,0,0,0,1,4,1
547,Alfie Dorrington,Tottenham,16,0,11,5,0,0,16,0,0,0,0,0,12,61,26,0,0,0,0,0,13,0
548,Will Lankshear,Tottenham,3,0,0,2,1,0,3,0,0,0,0,0,3,3,0,0,0,0,2,0,3,1
551,Max Kilman,West Ham,2374,464,1317,962,113,32,2374,22,16,72.7,2,9.1,1270,5672,3185,31,14,2,17,4,1581,6
552,Aaron Wan-Bissaka,West Ham,2256,147,682,969,637,48,2256,122,64,52.5,43,35.2,1092,6700,3661,110,65,15,35,22,1322,167
553,Jarrod Bowen,West Ham,1252,28,132,466,678,171,1251,130,44,33.8,76,58.5,741,5306,2501,109,46,61,70,77,834,212
554,Mohammed Kudus,West Ham,1274,13,171,536,612,127,1274,208,92,44.2,98,47.1,842,5574,2613,98,59,42,77,93,989,216
555,Tomáš Souček,West Ham,1280,128,355,626,303,102,1280,12,6,50,6,50,506,1553,559,9,12,3,20,15,764,68
556,Lucas Paquetá,West Ham,1796,62,367,989,454,59,1794,47,21,44.7,21,44.7,921,3358,1416,26,34,2,54,51,1268,85
557,Emerson Palmieri,West Ham,1325,82,422,559,359,28,1325,30,10,33.3,17,56.7,555,3013,1737,47,25,9,24,7,747,83
558,Alphonse Areola,West Ham,1049,833,1038,12,0,0,1049,0,0,0,0,0,601,2480,1348,0,0,0,0,0,555,0
559,Konstantinos Mavropanos,West Ham,1532,244,806,671,63,24,1532,17,9,52.9,5,29.4,864,4287,2292,17,10,1,12,0,1008,2
560,Jean-Clair Todibo,West Ham,1297,165,716,543,47,11,1297,16,9,56.3,7,43.8,760,3221,1602,9,5,0,14,11,890,5
561,Edson Álvarez,West Ham,1239,67,361,693,194,12,1239,33,14,42.4,14,42.4,687,3783,1714,24,22,2,27,15,830,18
562,Guido Rodríguez,West Ham,709,54,223,423,64,5,709,6,3,50,1,16.7,327,1167,481,4,5,2,4,7,408,7
563,Carlos Soler,West Ham,794,27,180,409,210,26,794,18,8,44.4,9,50,367,1806,783,17,17,4,14,14,539,37
564,Łukasz Fabiański,West Ham,530,414,525,5,0,0,530,3,3,100,0,0,285,1485,890,0,0,0,0,0,248,0
565,James Ward-Prowse,West Ham,849,30,180,513,158,11,849,5,2,40,3,60,427,1999,845,11,16,0,3,6,593,9
566,Vladimír Coufal,West Ham,736,61,262,318,159,14,736,15,5,33.3,7,46.7,298,1754,888,26,10,2,12,8,400,33
567,Michail Antonio,West Ham,296,3,26,124,151,36,296,27,9,33.3,13,48.1,173,1177,695,29,13,9,35,19,221,59
568,Aaron Cresswell,West Ham,687,45,270,328,94,2,687,2,1,50,1,50,291,1102,526,6,8,0,4,0,437,4
569,Crysencio Summerville,West Ham,372,9,47,147,181,38,372,39,13,33.3,18,46.2,207,1463,762,29,15,13,20,16,259,71
570,Oliver Scarles,West Ham,466,32,159,179,133,9,466,7,2,28.6,5,71.4,219,871,483,12,9,2,12,3,272,44
571,Niclas Füllkrug,West Ham,277,19,27,142,110,40,277,8,1,12.5,6,75,123,435,215,7,4,2,18,7,205,31
572,Danny Ings,West Ham,139,2,15,51,73,27,139,7,4,57.1,2,28.6,63,324,118,6,0,2,6,6,96,29
573,Andy Irving,West Ham,150,7,37,89,24,0,150,1,1,100,0,0,73,305,137,0,1,0,1,3,104,4
574,Evan Ferguson,West Ham,66,1,6,30,31,10,66,5,3,60,2,40,31,123,41,1,1,1,8,5,42,7
575,Luis Guilherme,West Ham,99,3,19,40,41,5,99,13,7,53.8,4,30.8,51,383,165,4,3,1,4,3,69,16
576,Lewis Orford,West Ham,42,1,8,28,7,2,42,0,0,0,0,0,22,98,27,0,0,0,1,0,31,1
577,Kaelan Casey,West Ham,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,Rayan Aït-Nouri,Wolves,2148,96,577,916,685,96,2148,137,63,46,56,40.9,1129,6166,3205,89,62,28,52,47,1321,176
581,João Gomes,Wolves,1998,62,431,1105,491,45,1998,65,30,46.2,28,43.1,1059,6216,2843,59,51,6,43,51,1335,76
582,Nélson Semedo,Wolves,1717,123,483,788,467,27,1717,71,32,45.1,31,43.7,901,5223,2688,67,41,10,42,21,995,119
583,André,Wolves,1623,89,439,1046,155,3,1623,32,16,50,12,37.5,912,3764,1688,10,17,0,30,21,1093,11
584,Toti Gomes,Wolves,2027,217,942,1000,108,17,2027,32,20,62.5,10,31.3,1205,5793,3203,27,20,0,20,15,1387,18
585,Jørgen Strand Larsen,Wolves,736,36,85,348,304,108,736,20,8,40,11,55,345,1194,464,17,14,9,90,34,534,112
586,José Sá,Wolves,985,785,976,10,0,0,985,8,8,100,0,0,630,3790,2483,0,0,0,1,0,485,0
587,Matheus Cunha,Wolves,1561,23,181,695,733,133,1560,137,61,44.5,61,44.5,904,6724,3336,112,95,41,80,55,1056,161
588,Matt Doherty,Wolves,1534,126,614,748,190,26,1534,21,11,52.4,7,33.3,825,3666,2176,29,20,4,11,5,982,41
589,Jean-Ricner Bellegarde,Wolves,843,24,148,394,318,48,843,61,14,23,31,50.8,528,3269,1573,52,38,11,42,29,592,89
590,Santiago Bueno,Wolves,1025,170,522,485,21,6,1025,4,0,0,4,100,555,2727,1430,1,2,0,2,2,660,1
591,Emmanuel Agbadou,Wolves,1172,190,649,504,28,7,1172,13,10,76.9,2,15.4,758,3670,1752,6,4,0,6,4,796,2
592,Mario Lemina,Wolves,809,92,324,378,119,18,809,16,10,62.5,4,25,382,2068,1038,8,12,2,21,11,482,21
593,Marshall Munetsi,Wolves,364,21,58,182,128,36,364,11,3,27.3,7,63.6,148,580,215,9,4,4,32,12,182,35
594,Gonçalo Guedes,Wolves,484,6,49,199,250,40,484,28,9,32.1,15,53.6,304,2074,1056,41,27,8,38,18,337,79
595,Craig Dawson,Wolves,671,130,396,249,28,14,671,5,1,20,2,40,390,1819,938,6,1,0,2,0,443,5
596,Pablo Sarabia,Wolves,552,4,58,271,226,24,552,15,6,40,7,46.7,325,1497,731,15,15,0,22,14,387,62
597,Rodrigo Gomes,Wolves,417,24,101,141,182,29,417,15,5,33.3,7,46.7,217,1388,805,23,18,7,21,9,246,81
598,Sam Johnstone,Wolves,306,229,304,2,0,0,306,0,0,0,0,0,196,1221,756,0,0,0,0,0,179,0
599,Hwang Hee-chan,Wolves,271,10,42,105,126,24,271,14,2,14.3,12,85.7,159,989,448,15,5,7,14,10,181,42
600,Yerson Mosquera,Wolves,294,43,170,115,12,7,294,0,0,0,0,0,168,683,322,0,1,0,4,1,182,0
601,Tommy Doyle,Wolves,463,22,128,258,80,4,463,9,5,55.6,1,11.1,260,1417,578,6,3,0,9,4,303,4
602,Daniel Bentley,Wolves,69,50,68,1,0,0,69,0,0,0,0,0,39,218,134,0,0,0,0,0,26,0
603,Carlos Forbs,Wolves,121,3,23,39,60,13,121,12,7,58.3,5,41.7,75,468,321,10,3,8,7,4,85,28
604,Pedro Lima,Wolves,48,0,9,12,28,3,48,3,1,33.3,2,66.7,22,120,83,4,3,1,1,0,30,11
605,Nasser Djiga,Wolves,58,2,17,39,2,0,58,0,0,0,0,0,32,108,37,0,1,0,1,2,35,2
606,Daniel Podence,Wolves,20,0,2,11,7,0,20,2,2,100,0,0,13,77,43,1,1,0,0,0,17,3
607,Chiquinho,Wolves,3,0,0,1,2,1,3,0,0,0,0,0,1,13,5,0,0,0,0,0,2,0
608,Mateus Mane,Wolves,6,0,0,6,0,0,6,0,0,0,0,0,2,22,7,0,0,0,0,0,4,0
609,Tom King,Wolves,1,1,1,0,0,0,1,0,0,0,0,0,1,8,5,0,0,0,0,0,0,0
610,Alfie Pond,Wolves,1,0,0,1,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0
611,Boubacar Traoré,Wolves,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
