id,player_name,team,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
276,Jacob Greaves,Ipswich Town,1041,78,30,0,0,1,23,0,0,0,0,962,2,4
277,Jens Cajuste,Ipswich Town,719,64,23,1,5,10,41,0,0,0,0,647,0,12
278,Axel Tuanzebe,Ipswich Town,651,163,30,0,1,10,133,0,0,0,0,682,0,14
279,Arijanet Muric,Ipswich Town,485,143,49,0,3,0,0,0,0,0,0,454,5,0
280,Cameron Burgess,Ipswich Town,710,60,28,1,1,0,0,0,0,0,0,626,4,7
281,Ben Johnson,Ipswich Town,333,82,11,2,4,37,58,13,11,1,0,298,1,23
282,Kalvin Phillips,Ipswich Town,510,40,27,1,6,20,2,11,8,2,1,436,1,9
283,Alex Palmer,Ipswich Town,287,136,42,0,0,0,0,0,0,0,0,299,0,1
284,Sammie Szmodics,Ipswich Town,190,11,1,0,0,14,0,6,6,0,0,149,0,13
285,Luke Woolfenden,Ipswich Town,547,13,9,0,2,0,1,0,0,0,0,496,2,2
286,Jack Clarke,Ipswich Town,372,19,2,1,3,13,8,7,5,0,0,302,2,18
287,Wes Burns,Ipswich Town,244,9,1,0,1,46,8,0,0,0,0,153,0,24
288,Julio Enciso,Ipswich Town,210,37,8,4,0,21,2,13,11,1,0,171,1,11
289,Conor Chaplin,Ipswich Town,282,37,3,10,1,9,4,0,0,0,0,235,0,5
290,Nathan Broadhead,Ipswich Town,218,10,0,3,1,9,2,3,3,0,0,178,0,11
291,Christian Walton,Ipswich Town,185,70,19,0,0,0,0,0,0,0,0,177,0,0
292,George Hirst,Ipswich Town,121,0,0,0,0,3,0,0,0,0,0,69,1,5
293,Jaden Philogene Bidace,Ipswich Town,129,1,0,0,1,13,1,0,0,0,0,95,1,5
294,Jack Taylor,Ipswich Town,411,10,2,2,3,7,0,3,3,0,0,349,0,5
295,Harry Clarke,Ipswich Town,211,25,2,1,0,5,23,0,0,0,0,190,0,4
296,Conor Townsend,Ipswich Town,98,28,4,1,0,12,20,4,3,1,0,80,1,3
297,Chiedozie Ogbene,Ipswich Town,43,0,0,0,0,4,0,0,0,0,0,32,0,5
298,Massimo Luongo,Ipswich Town,64,1,1,0,1,1,0,0,0,0,0,50,1,1
299,Ben Godfrey,Ipswich Town,49,8,1,0,0,0,7,0,0,0,0,47,0,3
