id,player_name,team,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
124,Danny Welbeck,Brighton,53,2.26,39,1,3,4,6,0,8,0.34,7,0,0,1,0,0
125,Lewis Dunk,Brighton,19,0.82,17,0,0,2,0,0,3,0.13,2,0,0,1,0,0
126,João Pedro,Brighton,72,3.32,56,0,3,2,10,1,9,0.42,6,0,0,0,3,0
127,Yasin Ayari,Brighton,61,2.79,36,13,3,3,4,2,6,0.27,4,2,0,0,0,0
128,Jack Hinshelwood,Brighton,35,1.71,28,4,0,2,1,0,3,0.15,3,0,0,0,0,0
129,Yankuba Minteh,Brighton,64,3.14,37,8,13,3,2,1,13,0.64,6,0,6,1,0,0
130,Joël Veltman,Brighton,23,1.22,16,2,2,1,2,0,2,0.11,1,1,0,0,0,0
131,Georginio Rutter,Brighton,64,3.47,37,0,9,7,9,2,8,0.43,3,0,3,1,1,0
132,Simon Adingra,Brighton,47,3.86,33,0,6,8,0,0,7,0.57,5,0,1,1,0,0
133,Matt O'Riley,Brighton,40,3.84,23,11,1,2,1,2,5,0.48,4,0,0,0,1,0
134,Adam Webster,Brighton,14,1.42,10,2,0,2,0,0,4,0.41,2,1,0,1,0,0
135,Mats Wieffer,Brighton,32,2.83,28,0,0,2,2,0,6,0.53,5,0,0,0,1,0
136,Igor,Brighton,14,1.31,12,0,1,0,1,0,0,0,0,0,0,0,0,0
137,Tariq Lamptey,Brighton,17,1.78,14,1,0,0,1,1,3,0.31,2,0,0,0,0,1
138,Brajan Gruda,Brighton,39,5.1,29,6,3,0,1,0,6,0.78,4,2,0,0,0,0
139,Ferdi Kadioglu,Brighton,13,3.03,11,0,0,0,1,1,2,0.47,2,0,0,0,0,0
140,Diego Gómez,Brighton,19,3.32,14,3,0,1,1,0,4,0.7,2,1,0,0,1,0
141,James Milner,Brighton,8,4.24,5,2,0,0,1,0,0,0,0,0,0,0,0,0
142,Julio Enciso,Brighton,12,3.69,5,1,3,1,2,0,0,0,0,0,0,0,0,0
143,Evan Ferguson,Brighton,4,1.47,3,0,1,0,0,0,0,0,0,0,0,0,0,0
144,Jason Steele,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Solly March,Brighton,7,3.77,6,1,0,0,0,0,2,1.08,2,0,0,0,0,0
146,Billy Gilmour,Brighton,3,2.76,3,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Eiran Cashin,Brighton,1,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Jakub Moder,Brighton,4,32.73,4,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Jeremy Sarmiento,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Harry Howell,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Moisés Caicedo,Chelsea,94,2.67,82,0,2,0,3,7,9,0.26,6,0,0,0,2,1
154,Cole Palmer,Chelsea,194,5.8,128,21,16,20,7,2,15,0.45,11,0,2,1,1,0
155,Levi Colwill,Chelsea,38,1.15,34,2,0,1,0,1,3,0.09,2,0,0,0,0,1
156,Marc Cucurella,Chelsea,48,1.54,42,3,0,2,1,0,5,0.16,4,1,0,0,0,0
157,Enzo Fernández,Chelsea,144,4.69,113,16,2,4,4,5,16,0.52,13,2,0,1,0,0
158,Robert Sánchez,Chelsea,7,0.23,6,1,0,0,0,0,2,0.07,1,1,0,0,0,0
159,Nicolas Jackson,Chelsea,69,2.8,42,0,9,7,9,2,10,0.41,7,0,2,1,0,0
