id,player_name,team,total_shots,shots_on_target,shots_on_target_percent,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_fks,pk_scored,pk_attempted,xg,npxg,npxg_per_shot,goals_xg_diff,np_goals_npxg_diff,goals,non_pk_goals
591,Emmanuel Agbadou,Wolves,7,2,28.6,0.45,0.13,0.14,0.5,27.6,1,0,0,0.8,0.8,0.12,0.2,0.2,1,1
592,Mario Lemina,Wolves,18,5,27.8,1.19,0.33,0.06,0.2,21.9,0,0,0,1.4,1.4,0.08,-0.4,-0.4,1,1
593,Marshall Munetsi,Wolves,22,7,31.8,1.84,0.58,0.09,0.29,15,0,0,0,3.3,3.3,0.15,-1.3,-1.3,2,2
594,Gonçalo Guedes,Wolves,27,8,29.6,2.44,0.72,0.07,0.25,18.9,0,0,0,3.2,3.2,0.12,-1.2,-1.2,2,2
595,Craig Dawson,Wolves,5,1,20,0.46,0.09,0,0,8.5,0,0,0,0.5,0.5,0.1,-0.5,-0.5,0,0
596,Pablo Sarabia,Wolves,17,8,47.1,1.88,0.88,0.18,0.38,18.9,2,0,0,2.9,2.9,0.17,0.1,0.1,3,3
597,Rodrigo Gomes,Wolves,7,3,42.9,0.78,0.33,0.29,0.67,16.8,0,0,0,0.7,0.7,0.1,1.3,1.3,2,2
598,Sam Johnstone,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,Hwang Hee-chan,Wolves,5,3,60,0.68,0.41,0.4,0.67,17.4,0,0,0,0.8,0.8,0.16,1.2,1.2,2,2
600,Yerson Mosquera,Wolves,2,0,0,0.41,0,0,0,12.4,0,0,0,0.3,0.3,0.17,-0.3,-0.3,0,0
601,Tommy Doyle,Wolves,9,2,22.2,1.66,0.37,0,0,24.5,1,0,0,0.6,0.6,0.06,-0.6,-0.6,0,0
602,Daniel Bentley,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,Carlos Forbs,Wolves,2,0,0,0.75,0,0,0,19.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,0,0
604,Pedro Lima,Wolves,1,1,100,1.29,1.29,0,0,22.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,0,0
605,Nasser Djiga,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,Daniel Podence,Wolves,1,0,0,1.87,0,0,0,24.4,0,0,0,0,0,0.04,0,0,0,0
607,Chiquinho,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608,Mateus Mane,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609,Tom King,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,Alfie Pond,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611,Boubacar Traoré,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
